code_insee;latitude;longitude
2029;49.855;3.154
2030;50.024;3.261
2031;49.825;4.191
2032;49.772;3.119
2033;49.497;3.793
2034;49.478;3.127
2035;49.866;3.631
2036;49.34;3.511
2037;49.62;3.61
2038;49.761;4.224
2039;49.705;3.794
2040;49.897;3.856
2041;49.586;3.236
2042;49.004;3.359
2043;49.46;3.28
2044;49.798;4.037
2046;49.622;3.661
2047;49.648;3.645
2048;49.668;3.689
2049;49.578;3.328
2050;50.04;3.749
2051;49.091;3.562
2052;49.533;3.385
2053;48.99;3.605
2054;49.307;3.616
2055;49.821;4.152
2056;49.688;3.131
2057;49.997;3.33
2058;49.403;3.753
2059;49.648;3.338
2060;49.834;3.103
2061;50.016;3.459
2062;49.083;3.3
2063;49.926;3.244
2064;49.357;3.34
2065;49.959;3.23
2066;49.755;3.309
2067;50.03;3.711
2068;49.781;3.757
2069;49.662;4.113
2070;49.879;3.487
2071;49.411;3.15
2072;49.482;3.852
2073;49.408;3.898
2074;49.628;3.398
2075;49.779;3.372
2076;49.398;4.012
2078;49.534;3.165
2079;49.823;4.118
2080;49.593;3.577
2081;49.629;3.141
2082;49.228;3.416
2083;49.131;3.492
2084;49.01;3.228
2085;49.105;3.408
2086;49.579;3.213
2087;49.448;3.27
2088;49.492;3.714
2089;49.356;3.376
2090;49.222;3.299
2091;49.337;3.672
2093;49.508;3.152
2094;49.026;3.464
2095;49.989;3.465
2096;49.737;3.654
2097;49.626;3.956
2098;49.008;3.346
2099;49.126;3.325
2100;49.991;3.221
2101;49.739;3.867
2102;49.461;3.757
2103;50.012;3.714
2104;49.379;3.846
2105;49.067;3.317
2106;49.402;3.659
2107;49.543;3.154
2108;49.529;3.538
2109;49.878;3.962
2110;49.348;3.536
2111;49.518;3.413
2112;49.981;3.394
2114;49.057;3.424
2115;49.438;3.61
2116;49.768;3.963
2117;49.775;3.141
2118;49.422;3.378
2119;49.14;3.424
2120;49.368;3.544
2121;49.184;3.35
2122;49.597;3.473
2123;49.723;3.396
2124;49.743;3.4
2125;49.11;3.153
2126;49.772;4.186
2127;49.2;3.445
2128;49.524;3.67
2129;49.262;3.569
2130;49.866;4.093
2131;49.388;3.398
2132;49.579;3.497
2133;49.647;3.904
2134;49.907;4.057
2135;49.958;3.838
2136;49.769;3.912
2137;49.077;3.25
2138;49.31;3.348
2139;49.618;3.122
2140;49.52;3.128
2141;49.973;3.914
2142;49.801;3.253
2143;50.001;3.242
2144;49.865;3.111
2145;49.637;3.174
2146;49.015;3.57
2148;49.416;3.474
2149;49.767;3.333
2150;49.45;3.68
2151;49.578;3.546
2152;49.325;3.518
2153;49.56;3.502
2154;49.3;3.398
2155;49.508;3.522
2156;49.67;3.644
2157;49.599;3.672
2158;49.472;3.671
2159;49.544;3.262
2160;49.701;3.986
2162;48.949;3.377
2163;48.99;3.294
2164;49.112;3.541
2165;49.651;3.385
2166;49.09;3.509
2167;49.378;3.503
2168;49.056;3.382
2169;49.762;3.703
2170;49.794;3.416
2171;49.396;3.789
2172;49.315;3.253
2173;49.62;3.219
2174;49.479;3.519
2175;49.423;3.306
2176;49.407;3.562
2177;49.514;3.687
2178;49.463;3.72
2179;49.256;3.605
2180;49.649;3.594
2181;49.722;4.101
2182;49.818;3.737
2183;49.466;3.594
2184;49.762;3.584
2185;49.127;3.168
2186;48.984;3.382
2187;49.035;3.433
2188;49.93;3.775
2189;49.627;3.856
2190;49.403;3.438
2191;49.533;3.586
2192;49.217;3.247
2193;49.165;3.604
2194;49.749;3.84
2195;49.368;3.468
2196;49.552;3.566
2197;49.974;3.987
2198;49.428;3.364
2199;49.749;3.23
2200;49.66;3.943
2201;49.33;3.153
2203;49.163;3.436
2204;49.792;4.096
2205;49.467;3.63
2206;49.858;3.711
2207;49.642;3.151
2208;49.376;3.788
2209;49.002;3.561
2210;49.401;3.466
2211;49.414;3.945
2212;49.637;3.277
2213;49.036;3.533
2214;49.792;3.234
2215;49.462;3.826
2216;49.255;3.197
2217;49.516;3.316
2218;49.557;3.777
2219;49.541;3.344
2220;49.198;3.628
2221;49.031;3.274
2222;49.682;3.46
2223;48.996;3.507
2224;49.348;3.577
2225;49.116;3.263
2226;49.343;3.302
2227;49.138;3.576
2228;49.072;3.542
2229;49.514;3.795
2230;49.334;3.485
2231;49.646;3.524
2232;49.213;3.013
2233;49.229;3.452
2234;49.448;3.792
2235;49.426;3.777
2236;49.484;3.312
2237;49.699;3.623
2238;49.608;3.512
2239;49.043;3.511
2240;49.931;3.394
2241;49.16;3.35
2242;48.979;3.248
2243;49.408;3.366
2244;49.931;3.752
2245;49.408;3.322
2246;49.703;3.154
2248;49.683;3.82
2249;49.29;3.488
2250;49.39;3.762
2251;49.766;4.104
2252;49.404;3.706
2253;49.421;3.249
2254;49.344;3.191
2255;49.384;3.572
2256;49.769;4.042
2257;49.824;3.23
2258;49.147;3.177
2259;49.241;3.144
2260;49.667;3.401
2261;49.71;3.685
2262;49.629;3.36
2263;49.36;3.615
2264;49.636;4.013
2265;49.767;4.142
2266;49.734;4.086
2267;49.329;3.216
2268;49.016;3.273
2269;49.965;3.703
2270;49.794;3.13
2271;49.239;3.641
2272;49.277;3.39
2273;49.751;3.134
2274;49.678;3.883
2275;49.919;3.988
2276;49.926;3.807
2277;49.472;3.254
2278;49.886;4.07
2279;49.103;3.354
2280;49.104;3.451
2281;48.899;3.444
2282;49.552;3.74
2283;49.735;3.705
2284;49.92;3.838
2286;49.982;3.753
2287;49.774;3.272
2288;49.896;3.367
2289;48.967;3.414
2290;49.034;3.34
2291;49.971;3.28
2292;49.032;3.418
2293;49.931;3.451
2294;49.519;3.582
2295;49.896;3.924
2296;49.833;3.158
2297;49.082;3.348
2298;50.0;3.659
2299;49.456;4.036
2302;49.227;3.178
2303;49.871;3.253
2304;49.666;3.369
2305;49.188;3.511
2306;49.741;3.551
2307;49.176;3.142
2308;50.048;3.698
2309;49.525;3.76
2310;49.902;3.446
2311;49.453;3.557
2312;50.0;3.925
2313;49.887;3.674
2315;49.705;3.194
2316;49.265;3.16
2317;49.8;3.157
2318;49.549;3.293
2319;49.901;3.396
2320;49.808;3.212
2321;49.854;3.905
2322;49.879;3.424
2323;49.925;3.368
2324;50.031;3.846
2326;49.41;3.194
2327;49.806;3.096
2328;49.045;3.485
2329;49.619;3.46
2330;49.855;3.228
2331;49.816;3.798
2332;49.143;3.549
2333;49.555;3.37
2334;49.954;3.419
2335;49.628;3.427
2336;49.684;3.237
2337;49.943;3.91
2338;49.682;3.721
2339;49.083;3.182
2340;49.824;3.286
2341;49.816;3.871
2342;49.933;3.93
2343;49.812;3.119
2345;49.739;3.283
2346;49.61;3.768
2347;49.058;3.457
2349;49.495;3.859
2350;49.678;3.852
2351;49.161;3.657
2352;49.999;3.265
2353;49.651;3.736
2354;49.729;4.188
2355;49.887;3.24
2356;49.13;3.372
2357;49.796;3.882
2358;49.951;3.531
2359;49.81;3.275
2360;49.443;3.955
2361;49.896;3.625
2362;49.652;3.121
2363;49.512;3.261
2364;49.357;3.841
2366;49.977;3.614
2367;49.783;3.183
2368;49.287;3.032
2369;49.803;3.983
2370;49.966;3.191
2371;49.841;3.335
2372;49.279;3.358
2373;49.797;3.919
2374;49.912;3.277
2375;49.109;3.236
2376;49.888;3.524
2377;49.872;3.827
2378;49.884;4.044
2379;49.822;3.654
2380;49.746;3.294
2381;49.943;4.105
2382;49.861;3.201
2383;49.858;3.375
2384;49.786;3.848
2385;49.796;3.695
2386;49.95;3.665
2387;49.803;3.349
2388;49.786;4.136
2389;49.09;3.534
2390;49.929;3.148
2391;49.813;4.067
2392;49.96;3.304
2393;49.293;3.528
2395;49.512;3.349
2396;49.408;3.725
2397;49.717;3.236
2398;49.449;3.315
2399;49.447;3.892
2400;49.45;3.43
2401;49.863;3.861
2402;49.829;3.074
2403;49.826;3.604
2404;49.844;3.994
2405;49.856;4.05
2406;49.505;3.37
2407;49.547;3.534
2408;49.568;3.621
2409;49.59;3.965
2410;49.261;3.054
2411;49.154;3.312
2412;49.263;3.405
2413;49.503;3.588
2414;49.946;3.717
2415;49.353;3.155
2416;49.844;3.758
2417;49.995;3.174
2418;49.95;3.881
2419;49.961;3.777
2420;49.904;3.315
2421;49.31;3.5
2422;49.932;3.628
2423;49.473;3.353
2424;49.427;3.341
2425;49.858;4.17
2426;49.934;3.312
2427;49.273;3.542
2428;49.102;3.265
2429;49.488;3.622
2430;49.611;3.817
2431;49.692;3.3
2432;49.324;3.555
2433;49.676;4.021
2435;49.833;4.22
2438;49.284;3.221
2439;49.36;3.656
2440;49.53;4.054
2441;49.253;3.242
2442;49.241;3.525
2443;49.055;3.276
2444;49.782;3.812
2445;49.927;3.96
2446;49.732;3.311
2447;49.293;3.457
2448;49.652;3.838
2449;49.159;3.218
2450;49.873;3.571
2451;49.937;3.276
2452;49.893;3.189
2453;49.377;3.716
2454;49.516;4.001
2455;49.921;3.73
2456;49.565;3.18
2457;49.585;3.822
2458;48.894;3.493
2459;49.854;3.411
2460;49.746;3.734
2461;49.594;3.146
2462;49.242;3.561
2463;49.808;3.764
2464;49.433;3.406
2465;49.053;3.223
2466;49.182;3.198
2467;49.182;3.228
2468;49.745;3.765
2469;49.891;3.785
2470;49.867;4.134
2471;49.49;3.687
2472;49.541;3.798
2473;49.709;3.398
2474;49.692;3.275
2476;49.992;3.559
2477;49.371;3.271
2478;49.514;3.499
2480;49.71;3.537
2481;49.829;3.364
2482;49.357;3.759
2483;49.792;3.387
2484;49.063;3.512
2485;49.335;3.247
2486;49.628;3.784
2487;49.386;3.438
2488;50.034;3.53
